# 词 	 拼音 	 题型 	 词源 	 释义 	 释义来源 	 例句 	 例句出处 	 课本里出现次数
羌管	qiāng guǎn	写	词典	即羌笛	新华	{羌管}弄晴，菱歌泛夜，嬉嬉钓叟莲娃。	望海潮	2
羝乳	dī rǔ	写	词典	公羊产乳。喻不可能发生之事	新华	乃徙武北海上无人处，使牧羝，{羝乳}乃得归。	苏武传	2
羽檄	yǔ xí	写	词典	即羽书贺兰山下阵如云，羽檄交驰日夕闻	新华			2
耘耔	yún zǐ	写	词典	语本《诗。小雅。甫田》今适南亩，或耘或耔。谓除草培土◇因以耘耔泛指从事田间劳动	新华	怀良辰以孤往，或植杖而{耘耔}。	归去来兮辞并序	2
肯綮	kěn qìng	都考	词典			依乎天理，批大郤，导大窾，因其固然，技经{肯綮}之未尝，而况大軱乎！	庖丁解牛	2
胡诌	hú zhōu	写	词典			{胡诌}社会主义生产关系“是产生新的资产阶级分子的经济基础”的谬论	实践是检验真理的唯一标准	2
胡龁	hú hé	都考	课本	齐宣王的近臣	课本	曰：“臣闻之{胡龁}曰：王坐于堂上，有牵牛而过堂下者，王见之，曰：‘牛何之？’	齐桓晋文之事	2
胥吏	xū lì	写	词典	官府中的小吏	新华			2
胥怨	xū yuàn	写	词典	相怨，指百姓对上位者的怨恨	课本	盘庚之迁，{胥怨}者民也	答司马谏议书	2
膏腴	gāo yú	写	词典			东据成皋之险，割{膏腴}之壤	谏逐客书	2
臆断	yì duàn	写	词典	凭臆测而下的决断；主观地判断	新华	事不目见耳闻，而{臆断}其有无，可乎？	石钟山记	2
自为	zì wèi	读	课本	帮助自己	课本	莫不欲求忠以{自为}	屈原列传	2
自刎	zì wěn	写	词典	自割其颈。即自杀	新华	前长君为奉车，从至雍棫阳宫，扶辇下除，触柱折辕，劾大不敬，伏剑{自刎}，赐钱二百万以葬。	苏武传	2
舟楫	zhōu jí	写	词典	亦作舟檝；《诗．卫风．竹竿》桧楫松舟毛传楫所以棹舟，舟楫相配，得水而行	新华	假舆马者，非利足也，而致千里；假{舟楫}者，非能水也，而绝江河。	劝学	2
舳舻千里	zhú lú qiān lǐ	写	词典			{舳舻千里}，旌旗蔽空	赤壁赋	2
艾蒿	ài hāo	写	词典			插{艾蒿}、挂蒲剑、贴钟馗图	第四单元	2
节旄	jié máo	写	词典	旌节上所缀的牦牛尾饰物；指旌节	新华	杖汉节牧羊，卧起操持，{节旄}尽落。	苏武传	2
芷阳	zhǐ yáng	都考	课本	秦代县名，在今陕西西安东	课本	沛公则置车骑，脱身独骑，与樊哙、夏侯婴、靳强、纪信等四人持剑盾步走，从郦山下，道{芷阳}间行。	鸿门宴	2
苌弘化碧	cháng hóng huà bì	写	成语	苌弘周敬王的夫人，后蒙冤为人所杀，传说血化为碧玉	成语	人主莫不欲其臣之忠，而忠未必信，故伍员流于江，苌弘死于蜀，藏其血三年而化为碧。	《庄子·外物》	2
苍穹	cāng qióng	写	词典			“这个覆盖众生的{苍穹}	上图书馆	2
茕孑	qióng jié	写	词典	弧单	新华	外无期功强近之亲，内无应门五尺之僮，茕{茕孑}立，形影相吊。	陈情表	2
茕茕	qióng qióng	写	词典	孤单的样子	课本	外无期功强近之亲，内无应门五尺之僮，{茕茕}孑立，形影相吊。	陈情表	2
草窠	cǎo kē	写	词典	草盖的窝棚。指简陋的住屋；犹草丛	新华	再进去；果然，他躺在{草窠}	祝福	2
蓊郁	wěng yù	写	词典	亦作蓊欝；草木茂盛貌	新华	荷塘四面，长着许多树，蓊{蓊郁}郁的。	荷塘月色	2
蓦地	mò dì	写	词典			现在{蓦地}离开了群众	党费	2
蔺相如	lìn xiāng rú	写	词典	战国时期赵国大臣。赵惠文王时，秦向赵索要和氏璧	新华	并适当拓展阅读其他史传名篇（如《荆轲刺秦王》《信陵君窃符救赵》《廉颇{蔺相如}列传》等）	五代史伶官传序	2
蕙纕	huì rǎng	写	词典	香草作的佩带。系之以示芳洁忠正	新华	既替余以{蕙纕}兮，又申之以揽茝。	离骚（节选）	2
藩篱	fān lí	写	词典	比喻边疆上的屏障	课本	乃使蒙恬北筑长城而守{藩篱}，却匈奴七百余里；胡人不敢南下而牧马，士不敢弯弓而报怨。	过秦论	2
虞美人	yú měi rén	写	词典	①词牌名。原为唐代教坊曲名，后用为词牌。双调，五十六字或五十八字	新华			2
虱子	shī zi	写	词典	亦作虱子；哺乳动物的体外寄生虫	新华	看见王胡在那里赤着膊捉{虱子}	阿Q正传（节选）	2
虽有槁暴	suī yǒu gǎo pù	都考	课本	即使又晒干了	课本	{虽有槁暴}，不复挺者，輮使之然也。	劝学	2
蚂蚱	mà zhà	都考	词典	蝗虫	新华	梁头做成“桃尖梁头”或“{蚂蚱}头”	中国建筑的特征	2
蛟龙	jiāo lóng	写	词典			积土成山，风雨兴焉；积水成渊，{蛟龙}生焉；积善成德，而神明自得，圣心备焉。	劝学	2
蜉蝣	fú yóu	都考	课本	一种小飞虫，夏秋之交生在水边，生存期很短，古人说它朝生暮死	课本	寄{蜉蝣}于天地，渺沧海之一粟。	赤壁赋	2
螳螂	táng láng	写	词典	亦作螗螂；即螳蜋	新华	既入宫中，举天下所贡蝴蝶、{螳螂}、油利挞、青丝额一切异状遍试之，无出其右者。	促织	2
袅娜	niǎo nuó	都考	词典	亦作袅娜；细长柔美貌	新华	零星地点缀着些白花，有{袅娜}地开着的	荷塘月色	2
裨益	bì yì	写	词典			妻曰：“死何{裨益}？	促织	2
裴回	péi huí	写	词典	同“徘徊”	课本	可怜楼上月{裴回}，应照离人妆镜台。	春江花月夜	2
襁褓	qiǎng bǎo	写	词典	亦作襁緥。亦作襁葆；葆，通褓。背负婴儿用的宽带和包裹婴儿的被子◇亦泛指婴儿包	新华	小的还在{襁褓}之中。	大战中的插曲	2
言筌	yán quán	写	词典	《庄子．外物》﹕筌者所以在鱼，得鱼而忘筌……言者所以在意，得意而忘言	新华	它在不知不觉之中影响着我们，它之富于感染性启发性者在此，它之不落于{言筌}者也在此。	说“木叶”	2
讪讪	shàn shàn	写	词典	羞惭貌；难为情的样子	新华	{讪讪}地向她开口借被子了	百合花	2
讴歌	ōu gē	写	词典	亦作讴歌；歌唱	新华	{讴歌}了革命者和社会主义建设者意志坚定	在民族复兴的历史丰碑上	2
设身处地	shè shēn chǔ dì	读	成语	设设想。设想自己处在别人的那种境地。指替别人的处境着想	成语	体群臣也。”朱熹注体，谓设以身处其地而察其心也。	《礼记·中庸》	2
诙谐	huī xié	写	词典			能干、{诙谐}等优点	《红楼梦》	2
诣问	yì wèn	写	词典	前往叩问	新华			2
诨名	hùn míng	写	词典			而是货行里的人给他取的{诨名}	大卫·科波菲尔（节选）	2
调侃	tiáo kǎn	都考	词典					2
谏诤	jiàn zhèng	写	词典					2
谗人	chán rén	写	词典	进谗言之人	新华	屈平正道直行，竭忠尽智以事其君，{谗人}间之，可谓穷矣。	屈原列传	2
谗谄	chán chǎn	写	词典	谗毁和谄谀；好谗谮谄谀之人	新华	屈平疾王听之不聪也，{谗谄}之蔽明也，邪曲之害公也，方正之不容也，故忧愁幽思而作《离骚》。	屈原列传	2
谢公屐	xiè gōng jī	都考	课本	据《宋书·谢灵运传》，谢灵运游山，必到幽深高峻的地方，他备有一种特制的木屐，前后齿可装卸，上山时去掉前齿，下山时去掉后齿，以保持身体平衡	课本	脚著{谢公屐}，身登青云梯。	梦游天姥吟留别	2
谩嗟	mán jiē	写	词典	空叹。谩，通漫	新华	千古凭高对此，{谩嗟}荣辱。	桂枝香·金陵怀古	2
谪戍	zhé shù	写	词典	因有罪而被征调去守边	课本	非铦于钩戟长铩也；{谪戍}之众	过秦论	2
豁然开朗	huò rán kāi lǎng	读	成语	豁然形容开阔；开朗开阔明亮。从黑暗狭窄变得宽敞明亮。比喻突然领悟了一个道理	成语	极初狭，才通人。复行数十步，{豁然开朗}。	《桃花园记》	2
象笏	xiàng hù	都考	课本	象牙制的手板	课本	顷之，持一{象笏}至，曰：“此吾祖太常公宣德间执此以朝，他日汝当用之！”	项脊轩志	2
起伏跌宕	qǐ fú diē dàng	写	词典					2
越有难	yuè yǒu nàn	读	课本	指越人发兵侵吴	课本	{越有难}，吴王使之将。	五石之瓠	2
跬步	kuǐ bù	都考	课本	古代称跨出一脚为“跬”，跨出两脚为“步”	课本	故天子一{跬步}，皆关民命，不可忽也。	促织	2
踌躇满志	chóu chú mǎn zhì	写	成语	悠然自得，心满意足	课本	提刀而立，为之四顾，为之{踌躇满志}，善刀而藏之。”	庖丁解牛	2
蹄躈	tí qiào	都考	课本	也作“蹄噭”，蹄为脚，躈为肛门，噭为口，计算牲畜数量时，以四蹄加一窍（肛门或口）为五，算一头牲畜	课本	不数岁，田百顷，楼阁万椽，牛羊{蹄躈}各千计；一出门，裘马过世家焉。	促织	2
蹑足	niè zú	写	词典	置身，参与	课本	猗顿之富；{蹑足}行伍之间	过秦论	2
蹑迹	niè jì	写	词典	亦作蹑迹。亦作蹑迹；追踪;跟踪	新华	{蹑迹}披求，见有虫伏棘根。	促织	2
蹒跚	pán shān	写	词典	亦作c跚。亦作?跚。亦作蹒?；跛行貌	新华	都醉醺醺的在空中{蹒跚}	祝福	2
辇下	niǎn xià	写	词典	辇毂下的省称	新华	前长君为奉车，从至雍棫阳宫，扶{辇下}除，触柱折辕，劾大不敬，伏剑自刎，赐钱二百万以葬。	苏武传	2
辘辘远听	lù lù yuǎn tīng	写	词典	车声越听越远	课本	雷霆乍惊，宫车过也；{辘辘远听}，杳不知其所之也。	阿房宫赋	2
迁谪	qiān zhé	写	词典	官吏因罪降职并流放	课本	予出官二年，恬然自安，感斯人言，是夕始觉有{迁谪}意。	琵琶行并序	2
迂讷	yū nè	都考	课本	迂拙而又不善于言辞	课本	为人{迂讷}，遂为猾胥报充里正役，百计营谋不能脱。	促织	2
过蒙拔擢	guò méng bá zhuó	都考	课本	过分地受到提拔	课本	今臣亡国贱俘，至微至陋，{过蒙拔擢}，宠命优渥，岂敢盘桓，有所希冀。	陈情表	2
进谗	jìn chán	写	词典	在上级或长辈面前说人坏话乘机～	新华	我不喜欢那些背地里{进谗}言的人。”	装在套子里的人	2
远庖	yuǎn páo	写	词典	远离厨房。语出《礼记．玉藻》君子远庖厨，凡有血气之类，弗身践也	新华	是以君子{远庖}厨也。”	齐桓晋文之事	2
远眺	yuǎn tiào	写	词典	向远处看	新华			2
迥异	jiǒng yì	写	词典	大为不同两部作品，风格迥异	新华	面对某个事实或问题，评论的角度不同，文章面貌往往{迥异}。	芣苢	2
迷惘	mí wǎng	写	词典	迷惑失措；指蛊惑，使迷惑	新华	他承认他自己有些神经{迷惘}，可是绝口不肯说为了什么缘故。	哈姆莱特（节选）	2
迸发	bèng fā	写	词典	由内而外地突然发出一锤子打到岩石上，～了好些火星儿◇笑声从四面八方～出来	新华			2
逍遥游	xiāo yáo yóu	写	词典	《庄子》篇名	新华			2
逦迤	lǐ yǐ	都考	词典	连续不断	课本	鼎铛玉石，金块珠砾，弃掷{逦迤}，秦人视之，亦不甚惜。	阿房宫赋	2
逾庖而宴	yú páo ér yàn	写	词典	越过厨房去吃饭	课本	东犬西吠，客{逾庖而宴}，鸡栖于厅。	项脊轩志	2
遐想	xiá xiǎng	写	词典	漫无边际地想像闭目遐┫耄遐想云外寺	新华	在那静静的时刻，我充满了无限的{遐想}。	一名物理学家的教育历程	2
邋遢	lā tā	都考	词典			但那个{邋遢}的女人并不是他明媒正娶的妻子。	大卫·科波菲尔（节选）	2
邑庠	yì xiáng	写	词典	明清时称县学为邑庠	新华	又嘱学使俾入{邑庠}。	促织	2
鄱阳湖	pó yáng hú	写	词典	中国最大淡水湖。在江西省北部	新华			2
酒馔	jiǔ zhuàn	写	词典	犹酒食；借指酒席	新华	客到时，果品{酒馔}只顾将来，不必要问。”	林教头风雪山神庙	2
酾酒	shāi jiǔ	写	词典	斟酒	课本	旌旗蔽空，{酾酒}临江	赤壁赋	2
金樽	jīn zūn	写	词典	酒杯的美称	课本	人生得意须尽欢，莫使{金樽}空对月。	将进酒	2
金镂	jīn lòu	写	词典	在黄金器物上雕刻	新华	金车玉作轮，踯躅青骢马，流苏{金镂}鞍。	孔雀东南飞并序	2
钟鼓馔玉	zhōng gǔ zhuàn yù	写	成语	指击钟敲鼓，食用珍美的菜肴，代指富贵生活	课本	{钟鼓馔玉}不足贵，但愿长醉不愿醒。	将进酒	2
钱帛	qián bó	写	词典	金钱和丝织品，指聘礼	课本	受母{钱帛}多，不堪母驱使。	孔雀东南飞并序	2
铠甲	kǎi jiǎ	写	词典					2
银篦	yín bì	写	词典	古代妇女的一种银质首饰，亦可用以梳发	新华	钿头{银篦}击节碎，血色罗裙翻酒污。	琵琶行并序	2
铺张扬厉	pū zhāng yáng lì	读	成语	原指竭力铺陈渲染，力求发扬光大◇多形容过分讲究排场	成语	作为歌诗，荐之郊庙，纪泰山之封，镂白玉之牒，铺张对天之闳休，扬厉无前之伟绩。	《潮州刺史谢上表》	2
铿然	kēng rán	写	词典	形容敲击金石发出的响亮的声音	课本	石之{铿然}有声者，所在皆是也，而此独以钟名，何哉？	石钟山记	2
销锋镝	xiāo fēng dí	都考	课本	销毁兵器	课本	聚之咸阳，{销锋镝}	过秦论	2
长人者	zhǎng rén zhě	读	课本	做官的	课本	然吾居乡，见{长人者}好烦其令，若甚怜焉，而卒以祸。	种树郭橐驼传	2
门扉	mén fēi	写	词典	门扇	新华	妪又曰：“汝姊在吾怀，呱呱而泣；娘以指叩{门扉}曰：‘儿寒乎？	项脊轩志	2
阑干	lán gān	都考	词典			夜深忽梦少年事，梦啼妆泪红{阑干}。	琵琶行并序	2
阡陌	qiān mò	写	词典	①也作仟佰	新华	而倔起{阡陌}之中，率疲弊之卒	过秦论	2
阿剌	ā lá	写	词典	象声词∏叱声	新华	{阿剌}伯的烟具都不同	拿来主义	2
陈抟	chén tuán	写	词典			{陈抟}老祖写的；一边的对联已经脱落	祝福	2
隔阂	gé hé	写	词典	彼此情意不通，思想有距离感情～ㄧ消除～	新华	文字本身也造成新的社会{隔阂}	第四单元	2
雍容	yōng róng	写	词典			感受先秦诸子或{雍容}或犀利或雄奇或朴拙的论说风格	第二单元	2
雷霆	léi tíng	写	词典			{雷霆}乍惊，宫车过也；辘辘远听，杳不知其所之也。	阿房宫赋	2
青骢	qīng cōng	写	词典	毛色青白相杂的骏马	新华	金车玉作轮，踯躅{青骢}马，流苏金镂鞍。	孔雀东南飞并序	2
静女其姝	jìng nǚ qí shū	都考	课本	娴静的女子很漂亮	课本	{静女其姝}，俟我于城隅。	静女	2
靛青	diàn qīng	写	词典					2
鞭笞	biān chī	写	词典			执敲扑而{鞭笞}天下	过秦论	2
风乎舞雩	fēng hū wǔ yú	都考	课本	在舞雩台上吹吹风	课本	曰：“莫春者，春服既成，冠者五六人，童子六七人，浴乎沂，{风乎舞雩}，咏而归。”	子路、曾皙、冉有、公西华侍坐	2
香槟酒	xiāng bīn jiǔ	写	词典	法文champagne的音译。一种富含二氧化碳的起泡白葡萄酒	新华	托伐喝的{香槟酒}也不少。	玩偶之家（节选）	2
駃騠	jué tí	都考	课本	骏马名	课本	而骏良{駃騠}不实外厩	谏逐客书	2
马厩	mǎ jiù	写	词典	见马厩	新华			2
驽马十驾	nú mǎ shí jià	写	成语	劣马拉车走十天	课本	骐骥一跃，不能十步；{驽马十驾}，功在不舍。	劝学	2
高屋建瓴	gāo wū jiàn líng	写	成语	建倒水，泼水；瓴盛水的瓶子。把瓶子里的水从高层顶上倾倒。比喻居高临下，不可阻遏	成语	地势便利，其以下兵于诸侯，譬犹居高屋之上建瓴水也。	《史记·高祖本纪》	2
鸾回	luán huí	写	词典	见鸾回	新华	虎鼓瑟兮{鸾回}车，仙之人兮列如麻。	梦游天姥吟留别	2
鹪鹩	jiāo liáo	写	词典	鸟名。形小，体长约三寸。羽毛赤褐色，略有黑褐色斑点。尾羽短，略向上翘	新华	一粒沙和一个{鹪鹩}的卵都是同样地完美	自己之歌（节选）	2
鹰击长空	yīng jī cháng kōng	读	成语	指雄鹰振翅飞翔于辽阔的天空。亦比喻有雄心壮志的人在广阔的领域中施展自己的才能	成语	{鹰击长空}，鱼翔浅底，万类霜天竞自由。	沁园春·长沙	2
麋鹿	mí lù	写	词典	麋与鹿；即麋	新华	况吾与子渔樵于江渚之上，侣鱼虾而友{麋鹿}，驾一叶之扁舟，举匏樽以相属。	赤壁赋	2
黍离之悲	shǔ lí zhī bēi	写	词典	指故国残破的悲思	课本	千岩老人以为有{黍离之悲}也。	扬州慢	2
黑痣	hēi zhì	写	词典	皮肤的黑色或棕色斑点或乳头状突起，由黑色素细胞聚集而成	新华	我眼珠一转，一眼就看见在地铺上坐着的那位大嫂耳朵上那颗{黑痣}了。	党费	2
